Код,Номер распоряжения,Заказчик,ИНН Заказчика,Подрядчик,ИНН Подрядчика,Район,Адрес,Вид ограничения,Вид работ,Дата начала ограничения,Дата окончания ограничения,Дата снятия ограничения,Уточнение срока,Документы,Мониторинг,Основание,ПСП,МСК,Административное дело
451284,271-зд от 24.05.2024,ооо 'ск 'орион плюс',4703037072,ооо 'ск 'орион плюс',4703037072,кронштадтский,"кронштадтское шоссе (г.кронштадт) от ул. гидростроителей до ул. зосимова, ул. адмирала грейга у пересечения с кронштадтским ш., проезд)",огранич.движения,работы по реконструкции автомобильной дороги,20240527,20240714,20240714,(этап 5.1),http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=639421&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=451284&t=1,не ордер гати,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=505646&p3=410&p4=451284,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=218019&p3=519&p4=451284,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e451284&msk=0&t=1
451298,269-зд от 24.05.2024,спб гку 'додд',7801145804,спб гку 'додд',7801145804,выборгский,ул.есенина перекрёсток ул. есенина и пр. луначарского),огранич.движения,работы по прокладке инженерных сетей,20240527,20240722,20240724,(этапы 1 - 6 последовательно),http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=639418&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=451298&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e516348&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=506056&p3=243&p4=451298,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=218538&p3=93&p4=451298,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e451298&msk=0&t=1
451300,270-зд от 24.05.2024,спб гку 'дирекция транспортного строительства',7825342390,спб гку 'дирекция транспортного строительства',7825342390,калининский,"пр.металлистов от лабораторной ул. до пискарёвского пр., замшина ул. от ул. васенко до антоновской ул.)",огранич.движения,работы по ремонту дорожного покрытия,20240603,20240623,20240705,(этапы 1 - 8 последовательно),http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=639420&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=451300&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e516257&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=506299&p3=332&p4=451300,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=218631&p3=304&p4=451300,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e451300&msk=0&t=1
451306,272-зд от 24.05.2024,гуп 'водоканал санкт-петербурга',7830000426,гуп 'водоканал санкт-петербурга',7830000426,петроградский,мытнинская наб. от зоологического пер. до кронверкского пр.),огранич.движения,работы по строительству водопроводной сети,20240531,20240905,20241025,(этап 6),http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=639422&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=451306&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e516371&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=506631&p3=246&p4=451306,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=218935&p3=100&p4=451306,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e451306&msk=0&t=1
451428,273-зд от 27.05.2024,ооо 'навигатор-сбс',7811637812,ооо 'навигатор-сбс',7811637812,московский,воздухоплавательная ул. у пересечения с ул. емельянова),огранич.движения,работы по прокладке инженерных сетей,20240601,20240630,20240704,(этап 1),http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=639920&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=451428&t=1,не ордер гати,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=506877&p3=234&p4=451428,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=219035&p3=53&p4=451428,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e451428&msk=0&t=1
451431,274-зд от 27.05.2024,спб гку 'дирекция транспортного строительства',7825342390,спб гку 'дирекция транспортного строительства',7825342390,калининский,пр.просвещения перекрёсток пр. просвещения и ул. руставели),огранич.движения,работы по ремонту трамвайных путей,20240530,20240602,20240614,(этапы 1 - 4 последовательно),http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=639966&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=451431&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e511805&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=507111&p3=243&p4=451431,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=219088&p3=95&p4=451431,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e451431&msk=0&t=1
451437,275-зд от 27.05.2024,спб гку 'додд',7801145804,спб гку 'додд',7801145804,калининский,кондратьевский пр. от ул. ватунина до минеральной ул.),огранич.движения,работы по прокладке инженерных сетей,20240530,20240620,20240703,(этапы 1 - 2 последовательно),http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=640110&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=451437&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-DR&id1=e516378&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=507354&p3=234&p4=451437,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=219183&p3=55&p4=451437,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e451437&msk=0&t=1
451463,276-зд от 29.05.2024,ооо 'петербурггаз',7838017541,ооо 'петербурггаз',7838017541,невский,ул.крупской от ул. седова до ул. бабушкина),огранич.движения,работы по ремонту газопровода,20240626,20240630,20240704,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=639922&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=451463&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e516072&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=507588&p3=234&p4=451463,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=219238&p3=55&p4=451463,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e451463&msk=0&t=1
451466,277-зд от 29.05.2024,ооо 'петербурггаз',7838017541,ооо 'петербурггаз',7838017541,московский,кубинская ул. от краснопутиловской ул. до бассейной ул.),огранич.движения,работы по реконструкции инженерных сетей,20240615,20240623,20240702,-,http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=639923&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=451466&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e516049&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=507822&p3=234&p4=451466,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=219293&p3=53&p4=451466,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e451466&msk=0&t=1
451472,279-зд от 29.05.2024,спб гку 'дирекция транспортного строительства',7825342390,спб гку 'дирекция транспортного строительства',7825342390,красногвардейский,рябовское шоссе от окраинной ул. до границы с ленинградской областью),огранич.движения,работы по ремонту дорожного покрытия,20240604,20240617,20240617,(этапы 1 - 5),http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=640118&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=451472&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AR&id1=e516309&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=508056&p3=250&p4=451472,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=219346&p3=122&p4=451472,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e451472&msk=0&t=1
451498,278-зд от 29.05.2024,спб гку 'додд',7801145804,спб гку 'додд',7801145804,красносельский,"пр.народного ополчения перекрёсток пр. народного ополчения и авангардной ул., перекрёсток пр. народного ополчения и пр. маршала жукова)",огранич.движения,работы по прокладке инженерных сетей,20240720,20240916,20240922,(этапы 1 - 6 последовательно),http://www.gati-online.ru/opendata/get.php?xc=1&p1=1&p2=640111&t=1,http://www.gati-online.ru/opendata/get.php?xc=1&p1=2&p2=451498&t=1,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-DR&id1=e516399&msk=0&t=1,http://www.gati-online.ru/opendata/get.php?xc=2&p1=7803032323-OD&p2=508306&p3=264&p4=451498,http://www.gati-online.ru/opendata/get.php?xc=3&p1=7803032323-OD&p2=219468&p3=170&p4=451498,http://www.gati-online.ru/opendata/get.php?xc=4&p1=7803032323-AD&id2=e451498&msk=0&t=1
